id;cliente;nacionalidad;comentario_completo;tipo de habitacion;noches;fecha_alojamiento;tipo_cliente;fecha de comentario
882a5cf037b8f36c;Francisco;España;Muy bien.La Habitación esta muy bien.Todo fue correcto.;Habitación Doble Superior - 2 camas;2 noches;mayo de 2023;En pareja;2023-06-02
26108fa6592365ac;Lisa;Alemania;Excepcional.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En grupo;2023-05-30
92cd2752ceb53c2f;Patrick;España;Excepcional.;Habitación Doble Superior - 2 camas;2 noches;mayo de 2023;En pareja;2023-05-29
da8e37a1b9e9afd3;Pilar;España;Muy bien.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-29
e651c6ac6d829b99;Pasquale;Italia;Mi è piaciuto molto,  sono molto soddisfatto.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-29
1898f0cd2605d455;Alberto;España;Buena estancia, servicio y ubicación.Personal con buen trato. Buena ubicación y cercanía a la playa, tiendas y centro.Ventanas no tenían buen cierre y aislamiento. Se escucha el tráfico. El cerrojo de la puerta se atasca.;Habitación Doble Superior - 2 camas;2 noches;mayo de 2023;En familia;2023-05-29
20ac706add422a24;Gabriel;España;para repetir.ubicación y lo bien cuidado, no le falta detalle.no admiten mascotas.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;Persona que viaja sola;2023-05-29
2536e460df0862bc;Pedro;España;"Mala noche.Habia muchisimo ruido de la calle en la habitacion y no pudimos dormir en toda la noche. AL día siguiente nos cambiaron de habitación sin problemas pero la primera noche nos quedamos sin pegar ojo.Para mejorar la primera noche, la ducha no mezclaba el agua fria con la caliente y salía a una temperatura tremendamente alta (hervía) y nos fue imposible ducharnos.Al día siguiente una vez cambiados de habitación, todo fue normal.";Habitación Doble Superior - 2 camas;2 noches;mayo de 2023;En pareja;2023-05-29
8e87cbf159955168;Anónimo;España;Muy bien.;;1 noche;mayo de 2023;En familia;2023-05-28
8df5ebc02cd80419;Anna;Polonia;very good location, very friendly staff, clean and super comfortable bed😊.;Habitación Doble Superior - 2 camas;2 noches;mayo de 2023;En familia;2023-05-28
0766bfd087fc066b;Mª;España;Fantástico.Personal.No había ni agua en la habitación pero bebimos del grifo que estaba buena.;Habitación Doble Superior - 2 camas;2 noches;mayo de 2023;En pareja;2023-05-28
0444af6920725428;Maria;España;Bien.Perfecta ubicación.El cerramiento de las ventanas pésimo un ruido grandisimo.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-28
91b229b8615cd1fc;Mª;España;Fantástico.Personal.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-28
11650cdf4ad7a97b;Manuel;España;Muy bien.Restaurante: muy buena relación calidad precio.  Excelente trato del personal.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;Persona que viaja sola;2023-05-27
e19eb60801c38477;M;España;Muy bien.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-27
31317b21efe739fe;Frédéric;Francia;Belle vue au 8e étage.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-27
8af57f80d71fb492;García;España;Fantástico.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-27
196e25e35c07ee9f;Rbtbravo;España;"Hotel no tan perfecto.La limpieza.Anticuado y con óxido en el cuarto de baño 
Demasiado ruido el aire acondicionado
Habitación no tiene insonorización.";Habitación Doble Superior - 2 camas;2 noches;mayo de 2023;En pareja;2023-05-27
304dc8a6930b8540;Marie;Francia;Muy bien.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En grupo;2023-05-26
817a5870d020c0c1;Armin;Alemania;Tiefgarage, sehr gutes Frühstück, Restaurant, gute Lage.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-24
fb4d330eb4f828ab;Carlos;España;Muy bien.;Habitación Doble Superior - 2 camas;1 noche;mayo de 2023;En pareja;2023-05-24
